drug,n_test,n_resistant,n_susceptible,balanced_accuracy,recall_resistant,recall_susceptible,f1,auroc,pr_auc,brier,no_call_rate,accuracy_on_called
ciprofloxacin,229,122,107,0.9836065573770492,0.9672131147540983,1.0,0.9833333333333333,0.9768270261988661,0.9854472874146135,0.023312442668815905,0.0,0.982532751091703
erythromycin,221,145,76,0.9758620689655173,0.9517241379310345,1.0,0.9752650176678446,0.9975045372050817,0.9980266549161566,0.027307596858639677,0.01809954751131222,0.9723502304147466
cefoxitin,205,153,52,0.9003896430367018,0.9738562091503268,0.8269230769230769,0.9581993569131833,0.9803293112116641,0.9934653092277272,0.0465408431122204,0.0,0.9365853658536586
tetracycline,220,59,161,0.7957679755763765,0.6101694915254238,0.9813664596273292,0.7346938775510204,0.951994946836509,0.8963265797014548,0.06614124391075758,0.07272727272727272,0.9509803921568627
